,姓名,消费金额,账户余额,订单时间,收货日期,详细地址
0,王五,9285.53,990714,1997-12-01 22:27:54,1997-12-01,广东省广州市番禺区南站105
1,鲁迅,6744.68,993255,2000-04-02 16:58:51,2000-04-02,广东省广州市海珠区中大102
2,钱七,5699.01,994300,2003-06-10 18:44:59,2003-06-10,广东省广州市越秀区北京路104
3,李四,876.68,999123,2006-10-20 14:16:32,2006-10-20,广东省广州市黄埔区鱼珠街道101
4,朱自清,2768.89,997231,2011-12-19 08:08:04,2011-12-19,广东省广州市越秀区北京路104
5,钱七,6721.26,993278,2013-10-14 18:29:25,2013-10-14,广东省广州市海珠区中大102
6,朱自清,9503.17,990496,2000-05-12 18:53:29,2000-05-12,广东省广州市番禺区南站105
7,李四,38.79,999961,2016-04-29 22:54:22,2016-04-29,广东省广州市海珠区中大102
8,孔子,4683.07,995316,2003-08-27 20:35:34,2003-08-27,广东省广州市番禺区南站105
9,孟子,9015.83,990984,2012-06-20 04:27:12,2012-06-20,广东省广州市天河区天河街道103
10,孟子,9210.01,990789,1999-10-31 06:33:44,1999-10-31,广东省广州市黄埔区鱼珠街道101
11,王五,799.77,999200,1984-11-15 02:07:03,1984-11-15,广东省广州市番禺区南站105
12,钱七,3407.54,996592,2015-08-09 02:11:30,2015-08-09,广东省广州市天河区天河街道103
13,钱七,9957.63,990042,1982-12-20 21:26:47,1982-12-20,广东省广州市越秀区北京路104
14,墨子,6360.46,993639,1997-09-17 13:52:34,1997-09-17,广东省广州市天河区天河街道103
15,孟子,9860.68,990139,1997-05-17 05:58:38,1997-05-17,广东省广州市天河区天河街道103
16,李四,830.99,999169,1984-03-07 14:35:36,1984-03-07,广东省广州市番禺区南站105
17,赵六,5638.4,994361,2016-01-16 13:10:13,2016-01-16,广东省广州市番禺区南站105
18,朱自清,2646.61,997353,1983-04-18 05:39:06,1983-04-18,广东省广州市黄埔区鱼珠街道101
19,孟子,7861.68,992138,2022-09-09 00:33:42,2022-09-09,广东省广州市越秀区北京路104
20,孟子,8313.95,991686,2011-01-22 09:39:42,2011-01-22,广东省广州市海珠区中大102
21,钱七,6119.13,993880,1983-10-30 18:37:55,1983-10-30,广东省广州市番禺区南站105
22,墨子,5732.0,994268,2018-08-30 07:15:47,2018-08-30,广东省广州市越秀区北京路104
23,孟子,7393.1,992606,1979-11-23 08:30:29,1979-11-23,广东省广州市越秀区北京路104
24,张三,9636.6,990363,1983-08-18 17:12:31,1983-08-18,广东省广州市番禺区南站105
25,老子,5826.47,994173,2019-05-23 07:16:26,2019-05-23,广东省广州市黄埔区鱼珠街道101
26,墨子,2793.28,997206,2003-10-23 15:48:07,2003-10-23,广东省广州市番禺区南站105
27,朱自清,4567.01,995432,1984-07-03 08:21:45,1984-07-03,广东省广州市海珠区中大102
28,老子,5139.17,994860,1992-08-31 18:55:53,1992-08-31,广东省广州市天河区天河街道103
29,墨子,8801.89,991198,2013-10-18 16:18:51,2013-10-18,广东省广州市黄埔区鱼珠街道101
30,赵六,4802.57,995197,2005-01-08 04:59:27,2005-01-08,广东省广州市越秀区北京路104
31,老子,1818.98,998181,2001-03-17 21:10:36,2001-03-17,广东省广州市番禺区南站105
32,孟子,6735.29,993264,2015-03-23 17:47:20,2015-03-23,广东省广州市海珠区中大102
33,鲁迅,1924.86,998075,1996-07-13 22:00:28,1996-07-13,广东省广州市番禺区南站105
34,张三,4733.95,995266,1994-04-12 09:34:09,1994-04-12,广东省广州市番禺区南站105
35,墨子,5839.88,994160,2010-05-28 00:15:54,2010-05-28,广东省广州市海珠区中大102
36,朱自清,1822.3,998177,1987-03-17 02:15:25,1987-03-17,广东省广州市越秀区北京路104
37,墨子,6810.0,993190,2006-04-06 00:18:57,2006-04-06,广东省广州市天河区天河街道103
38,老子,3086.49,996913,2016-12-24 21:32:52,2016-12-24,广东省广州市越秀区北京路104
39,钱七,3718.62,996281,1981-04-28 07:24:20,1981-04-28,广东省广州市天河区天河街道103
40,王五,5106.59,994893,1999-10-10 14:02:05,1999-10-10,广东省广州市黄埔区鱼珠街道101
41,钱七,9722.82,990277,2010-01-28 15:28:04,2010-01-28,广东省广州市黄埔区鱼珠街道101
42,鲁迅,782.26,999217,2005-11-13 04:28:59,2005-11-13,广东省广州市天河区天河街道103
43,钱七,4349.29,995650,1999-07-06 19:33:09,1999-07-06,广东省广州市越秀区北京路104
44,鲁迅,5904.41,994095,1983-07-09 06:52:08,1983-07-09,广东省广州市海珠区中大102
45,朱自清,2025.05,997974,2023-05-22 01:28:11,2023-05-22,广东省广州市番禺区南站105
46,墨子,9990.28,990009,2018-01-26 22:39:05,2018-01-26,广东省广州市天河区天河街道103
47,朱自清,9005.64,990994,2007-11-28 23:16:08,2007-11-28,广东省广州市番禺区南站105
48,孔子,7996.05,992003,2002-04-09 22:38:05,2002-04-09,广东省广州市天河区天河街道103
49,李四,5860.06,994139,1981-04-02 01:21:22,1981-04-02,广东省广州市番禺区南站105
50,孔子,5515.08,994484,2001-10-23 01:46:28,2001-10-23,广东省广州市番禺区南站105
51,孔子,2584.83,997415,2002-10-11 01:10:39,2002-10-11,广东省广州市黄埔区鱼珠街道101
52,老子,4061.45,995938,1998-03-13 03:19:57,1998-03-13,广东省广州市海珠区中大102
53,王五,3632.24,996367,2012-08-26 21:11:13,2012-08-26,广东省广州市天河区天河街道103
54,鲁迅,5913.91,994086,1986-05-02 05:48:16,1986-05-02,广东省广州市越秀区北京路104
55,李四,9035.84,990964,1988-01-24 03:28:02,1988-01-24,广东省广州市天河区天河街道103
56,老子,6445.24,993554,2008-03-25 15:05:17,2008-03-25,广东省广州市海珠区中大102
57,赵六,2760.63,997239,1988-09-20 02:58:08,1988-09-20,广东省广州市黄埔区鱼珠街道101
58,墨子,5838.35,994161,1996-02-19 04:09:03,1996-02-19,广东省广州市黄埔区鱼珠街道101
59,张三,1668.13,998331,2019-10-02 07:15:02,2019-10-02,广东省广州市越秀区北京路104
60,孟子,3194.29,996805,1997-03-27 10:04:19,1997-03-27,广东省广州市越秀区北京路104
61,孟子,2743.92,997256,2013-02-25 14:40:22,2013-02-25,广东省广州市天河区天河街道103
62,孟子,2130.88,997869,2015-11-04 14:22:09,2015-11-04,广东省广州市番禺区南站105
63,李四,9654.58,990345,2023-05-27 03:39:40,2023-05-27,广东省广州市天河区天河街道103
64,张三,9790.67,990209,1985-10-06 02:49:47,1985-10-06,广东省广州市海珠区中大102
65,孔子,6228.87,993771,2012-07-27 07:59:22,2012-07-27,广东省广州市越秀区北京路104
66,李四,1105.31,998894,1997-10-12 04:33:35,1997-10-12,广东省广州市越秀区北京路104
67,王五,7246.73,992753,1998-05-13 09:07:57,1998-05-13,广东省广州市越秀区北京路104
68,李四,4081.46,995918,2014-04-02 02:16:47,2014-04-02,广东省广州市番禺区南站105
69,老子,5408.03,994591,2015-11-26 02:35:57,2015-11-26,广东省广州市番禺区南站105
70,赵六,5538.55,994461,1999-08-15 09:09:47,1999-08-15,广东省广州市越秀区北京路104
71,李四,6921.37,993078,1980-03-05 07:32:24,1980-03-05,广东省广州市番禺区南站105
72,李四,5246.34,994753,2010-04-03 06:40:29,2010-04-03,广东省广州市天河区天河街道103
73,钱七,3651.91,996348,1979-01-15 09:20:58,1979-01-15,广东省广州市黄埔区鱼珠街道101
74,孟子,9756.04,990243,1988-05-31 21:50:01,1988-05-31,广东省广州市天河区天河街道103
75,鲁迅,4320.06,995679,2019-02-13 23:39:59,2019-02-13,广东省广州市番禺区南站105
76,孔子,3733.51,996266,2014-02-13 22:36:09,2014-02-13,广东省广州市黄埔区鱼珠街道101
77,李四,1848.96,998151,2022-01-30 00:22:54,2022-01-30,广东省广州市越秀区北京路104
78,李四,2389.22,997610,2010-10-19 05:24:30,2010-10-19,广东省广州市海珠区中大102
79,钱七,3625.43,996374,2004-05-02 05:25:12,2004-05-02,广东省广州市番禺区南站105
80,孔子,7015.44,992984,2007-04-02 04:41:30,2007-04-02,广东省广州市海珠区中大102
81,赵六,9152.29,990847,1991-11-04 16:43:59,1991-11-04,广东省广州市越秀区北京路104
82,鲁迅,1730.07,998269,2010-10-29 22:01:05,2010-10-29,广东省广州市天河区天河街道103
83,王五,7294.5,992705,2004-06-07 00:20:29,2004-06-07,广东省广州市越秀区北京路104
84,鲁迅,3338.49,996661,1984-03-23 22:25:53,1984-03-23,广东省广州市黄埔区鱼珠街道101
85,墨子,5383.99,994616,2019-12-24 11:28:26,2019-12-24,广东省广州市天河区天河街道103
86,李四,7195.97,992804,2017-05-10 10:09:24,2017-05-10,广东省广州市番禺区南站105
87,墨子,2549.46,997450,2000-03-19 16:23:18,2000-03-19,广东省广州市天河区天河街道103
88,鲁迅,6236.05,993763,1996-09-10 16:14:56,1996-09-10,广东省广州市海珠区中大102
89,孔子,848.59,999151,2021-12-02 06:21:38,2021-12-02,广东省广州市番禺区南站105
90,孔子,5992.86,994007,1979-01-06 03:57:37,1979-01-06,广东省广州市黄埔区鱼珠街道101
91,钱七,6893.37,993106,1982-08-06 17:22:47,1982-08-06,广东省广州市番禺区南站105
92,鲁迅,4007.6,995992,2023-07-23 10:42:10,2023-07-23,广东省广州市黄埔区鱼珠街道101
93,张三,9225.48,990774,1988-08-11 07:06:28,1988-08-11,广东省广州市天河区天河街道103
94,老子,7986.63,992013,2009-01-14 15:07:12,2009-01-14,广东省广州市天河区天河街道103
95,李四,8970.49,991029,2022-05-13 04:22:28,2022-05-13,广东省广州市海珠区中大102
96,钱七,9642.12,990357,1980-02-26 04:54:05,1980-02-26,广东省广州市黄埔区鱼珠街道101
97,孔子,4063.06,995936,2020-04-05 08:44:52,2020-04-05,广东省广州市番禺区南站105
98,孔子,5367.86,994632,1995-12-15 09:55:15,1995-12-15,广东省广州市越秀区北京路104
99,孟子,7046.5,992953,2014-03-27 05:47:38,2014-03-27,广东省广州市海珠区中大102
100,孟子,9890.29,990109,2009-05-30 18:24:56,2009-05-30,广东省广州市天河区天河街道103
101,孟子,3101.47,996898,2005-11-05 07:32:43,2005-11-05,广东省广州市黄埔区鱼珠街道101
102,朱自清,3387.21,996612,1980-03-04 14:03:28,1980-03-04,广东省广州市天河区天河街道103
103,墨子,1831.21,998168,2005-08-14 07:26:02,2005-08-14,广东省广州市海珠区中大102
104,孔子,5665.19,994334,1986-02-12 23:34:36,1986-02-12,广东省广州市越秀区北京路104
105,赵六,3118.45,996881,2017-11-01 03:34:32,2017-11-01,广东省广州市黄埔区鱼珠街道101
106,老子,8498.61,991501,2011-06-08 13:23:01,2011-06-08,广东省广州市天河区天河街道103
107,李四,5108.76,994891,1998-02-24 07:01:43,1998-02-24,广东省广州市天河区天河街道103
108,老子,4461.72,995538,2015-01-06 02:05:29,2015-01-06,广东省广州市番禺区南站105
109,孟子,2109.82,997890,2007-08-24 06:31:19,2007-08-24,广东省广州市天河区天河街道103
110,朱自清,3000.59,996999,2023-07-12 07:17:01,2023-07-12,广东省广州市海珠区中大102
111,钱七,9276.74,990723,1979-08-30 09:20:45,1979-08-30,广东省广州市番禺区南站105
112,孟子,5592.85,994407,2010-04-30 10:11:37,2010-04-30,广东省广州市越秀区北京路104
113,王五,7294.85,992705,1996-08-02 21:56:21,1996-08-02,广东省广州市番禺区南站105
114,墨子,6130.01,993869,1998-05-09 12:43:47,1998-05-09,广东省广州市越秀区北京路104
115,孟子,531.12,999468,2010-04-23 16:11:31,2010-04-23,广东省广州市番禺区南站105
116,孔子,3571.27,996428,2015-05-31 15:58:16,2015-05-31,广东省广州市番禺区南站105
117,钱七,8021.87,991978,2017-04-06 04:06:59,2017-04-06,广东省广州市番禺区南站105
118,张三,692.56,999307,1995-04-22 16:08:27,1995-04-22,广东省广州市黄埔区鱼珠街道101
119,鲁迅,710.09,999289,1980-04-17 18:38:59,1980-04-17,广东省广州市天河区天河街道103
120,张三,295.36,999704,1999-07-12 00:10:45,1999-07-12,广东省广州市番禺区南站105
121,王五,2906.97,997093,1992-06-12 01:39:32,1992-06-12,广东省广州市番禺区南站105
122,钱七,5765.22,994234,2006-05-14 06:09:58,2006-05-14,广东省广州市天河区天河街道103
123,张三,3435.1,996564,2000-09-19 07:50:33,2000-09-19,广东省广州市海珠区中大102
124,王五,2048.93,997951,1992-01-11 01:49:09,1992-01-11,广东省广州市黄埔区鱼珠街道101
125,朱自清,8753.95,991246,2012-07-10 14:30:24,2012-07-10,广东省广州市黄埔区鱼珠街道101
126,朱自清,6703.66,993296,1988-10-26 03:48:10,1988-10-26,广东省广州市番禺区南站105
127,李四,4169.76,995830,1980-05-27 06:16:11,1980-05-27,广东省广州市海珠区中大102
128,张三,2933.63,997066,2015-01-22 23:18:31,2015-01-22,广东省广州市越秀区北京路104
129,赵六,6604.99,993395,1987-12-16 14:03:19,1987-12-16,广东省广州市番禺区南站105
130,孔子,8873.01,991126,2023-04-02 23:51:49,2023-04-02,广东省广州市越秀区北京路104
131,孔子,1760.58,998239,1987-11-15 20:16:44,1987-11-15,广东省广州市番禺区南站105
132,孟子,4208.39,995791,2012-06-18 08:22:01,2012-06-18,广东省广州市越秀区北京路104
133,朱自清,2396.85,997603,1990-06-27 17:47:01,1990-06-27,广东省广州市越秀区北京路104
134,墨子,5597.64,994402,1993-04-21 23:33:49,1993-04-21,广东省广州市黄埔区鱼珠街道101
135,张三,9311.38,990688,2002-08-26 07:20:31,2002-08-26,广东省广州市黄埔区鱼珠街道101
136,王五,7750.68,992249,1984-02-03 05:57:19,1984-02-03,广东省广州市海珠区中大102
137,钱七,6500.37,993499,1979-02-09 01:14:02,1979-02-09,广东省广州市番禺区南站105
138,李四,95.5,999904,2014-10-30 00:57:49,2014-10-30,广东省广州市越秀区北京路104
139,钱七,4126.0,995874,2007-07-29 04:54:24,2007-07-29,广东省广州市黄埔区鱼珠街道101
140,王五,8702.66,991297,2003-05-09 09:11:41,2003-05-09,广东省广州市越秀区北京路104
141,钱七,9262.57,990737,1996-11-16 10:02:01,1996-11-16,广东省广州市天河区天河街道103
142,钱七,9288.49,990711,1986-03-09 20:32:37,1986-03-09,广东省广州市天河区天河街道103
143,孔子,5940.55,994059,2016-02-16 14:19:15,2016-02-16,广东省广州市天河区天河街道103
144,朱自清,9415.53,990584,2016-08-08 09:55:06,2016-08-08,广东省广州市番禺区南站105
145,朱自清,4965.91,995034,2000-03-26 02:12:19,2000-03-26,广东省广州市番禺区南站105
146,墨子,5942.73,994057,2021-06-09 01:22:33,2021-06-09,广东省广州市天河区天河街道103
147,鲁迅,5787.39,994212,1993-03-15 17:08:02,1993-03-15,广东省广州市天河区天河街道103
148,王五,659.72,999340,2019-12-31 21:14:54,2019-12-31,广东省广州市越秀区北京路104
149,张三,8043.06,991956,2012-12-14 06:14:09,2012-12-14,广东省广州市黄埔区鱼珠街道101
150,朱自清,1887.42,998112,2019-09-09 06:04:30,2019-09-09,广东省广州市海珠区中大102
151,孔子,9069.37,990930,1987-02-13 01:14:09,1987-02-13,广东省广州市番禺区南站105
152,王五,9192.76,990807,2007-05-21 13:36:50,2007-05-21,广东省广州市海珠区中大102
153,孔子,7184.13,992815,1981-07-20 00:14:49,1981-07-20,广东省广州市越秀区北京路104
154,老子,152.89,999847,1989-02-10 06:21:03,1989-02-10,广东省广州市黄埔区鱼珠街道101
155,老子,129.25,999870,2004-11-25 14:18:08,2004-11-25,广东省广州市天河区天河街道103
156,李四,2182.88,997817,1988-04-23 18:11:46,1988-04-23,广东省广州市黄埔区鱼珠街道101
157,孟子,1686.79,998313,1979-12-13 11:12:06,1979-12-13,广东省广州市天河区天河街道103
158,朱自清,4641.25,995358,2010-07-29 10:30:57,2010-07-29,广东省广州市番禺区南站105
159,朱自清,678.37,999321,1996-11-09 02:55:02,1996-11-09,广东省广州市番禺区南站105
160,朱自清,2798.9,997201,1999-02-05 12:25:43,1999-02-05,广东省广州市天河区天河街道103
161,鲁迅,6686.95,993313,2002-06-07 18:23:39,2002-06-07,广东省广州市黄埔区鱼珠街道101
